"team_id","league_id","game_id","date","time","innings","runs","hits","team_abbr","team_name","home/away","win","loss","division","league_abbr","ttl_wins","ttl_losses","below.500","winloss","RA","ttl_ra","ttl_runs","ttl_hits","ttl_rs_sq","ttl_ra_sq","gp","wp","pythag_win","pythag_loss","pythag_record","Primary Color","Division Standing","League Standing","season"
1,100,1,2030-05-15,1905,9,0,3,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",0,1,-1,"0 - 1",1,1,0,3,0,1,1,0,0,1,"0 - 1","#0E1540",4,8,"2030"
1,100,6,2030-05-16,1905,9,7,12,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",1,1,0,"1 - 1",6,7,7,15,49,49,2,0.5,1,1,"1 - 1","#0E1540",4,8,"2030"
1,100,11,2030-05-17,1905,9,4,7,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",2,1,1,"2 - 1",3,10,11,22,121,100,3,0.547511312217195,2,1,"2 - 1","#0E1540",4,8,"2030"
1,100,16,2030-05-18,1905,9,4,8,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",2,2,0,"2 - 2",8,18,15,30,225,324,4,0.409836065573771,2,2,"2 - 2","#0E1540",4,8,"2030"
1,100,22,2030-05-21,1905,9,0,5,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",2,3,-1,"2 - 3",3,21,15,35,225,441,5,0.337837837837838,2,3,"2 - 3","#0E1540",4,8,"2030"
1,100,27,2030-05-22,1905,9,1,8,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",2,4,-2,"2 - 4",5,26,16,43,256,676,6,0.274678111587983,2,4,"2 - 4","#0E1540",4,8,"2030"
1,100,32,2030-05-23,1905,9,1,4,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",2,5,-3,"2 - 5",7,33,17,47,289,1089,7,0.209724238026125,1,6,"1 - 6","#0E1540",4,8,"2030"
1,100,36,2030-05-24,1905,9,3,5,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",2,6,-4,"2 - 6",9,42,20,52,400,1764,8,0.184842883548983,1,7,"1 - 7","#0E1540",4,8,"2030"
1,100,40,2030-05-26,1905,9,5,11,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",3,6,-3,"3 - 6",3,45,25,63,625,2025,9,0.235849056603774,2,7,"2 - 7","#0E1540",4,8,"2030"
1,100,44,2030-05-27,1905,9,2,6,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,7,-4,"3 - 7",8,53,27,69,729,2809,10,0.206048615036744,2,8,"2 - 8","#0E1540",4,8,"2030"
1,100,49,2030-05-28,1905,9,1,2,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,8,-5,"3 - 8",5,58,28,71,784,3364,11,0.18900675024108,2,9,"2 - 9","#0E1540",4,8,"2030"
1,100,54,2030-05-29,1905,9,5,10,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,9,-6,"3 - 9",9,67,33,81,1089,4489,12,0.195231265686626,2,10,"2 - 10","#0E1540",4,8,"2030"
1,100,59,2030-06-01,1905,9,8,12,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,10,-7,"3 - 10",9,76,41,93,1681,5776,13,0.225425774440123,3,10,"3 - 10","#0E1540",4,8,"2030"
1,100,64,2030-06-02,1905,9,4,11,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,11,-8,"3 - 11",5,81,45,104,2025,6561,14,0.235849056603774,3,11,"3 - 11","#0E1540",4,8,"2030"
1,100,69,2030-06-03,1905,9,4,6,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,12,-9,"3 - 12",6,87,49,110,2401,7569,15,0.240822467402207,4,11,"4 - 11","#0E1540",4,8,"2030"
1,100,74,2030-06-04,1905,9,2,7,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",3,13,-10,"3 - 13",15,102,51,117,2601,10404,16,0.2,3,13,"3 - 13","#0E1540",4,8,"2030"
1,100,81,2030-06-06,1905,9,7,9,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",4,13,-9,"4 - 13",0,102,58,126,3364,10404,17,0.244334689134224,4,13,"4 - 13","#0E1540",4,8,"2030"
1,100,85,2030-06-07,1905,9,2,7,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",4,14,-10,"4 - 14",6,108,60,133,3600,11664,18,0.235849056603774,4,14,"4 - 14","#0E1540",4,8,"2030"
1,100,90,2030-06-08,1905,9,1,5,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",4,15,-11,"4 - 15",8,116,61,138,3721,13456,19,0.216626884787798,4,15,"4 - 15","#0E1540",4,8,"2030"
1,100,94,2030-06-09,1905,9,4,11,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",4,16,-12,"4 - 16",5,121,65,149,4225,14641,20,0.223947842679953,4,16,"4 - 16","#0E1540",4,8,"2030"
1,100,97,2030-06-11,1905,9,12,16,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",5,16,-11,"5 - 16",1,122,77,165,5929,14884,21,0.284870033152357,6,15,"6 - 15","#0E1540",4,8,"2030"
1,100,102,2030-06-12,1905,9,3,9,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",5,17,-12,"5 - 17",4,126,80,174,6400,15876,22,0.287304722571377,6,16,"6 - 16","#0E1540",4,8,"2030"
1,100,107,2030-06-13,1905,9,1,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",5,18,-13,"5 - 18",2,128,81,180,6561,16384,23,0.285944650250599,7,16,"7 - 16","#0E1540",4,8,"2030"
1,100,121,2030-06-17,1905,9,5,9,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",6,18,-12,"6 - 18",2,130,86,189,7396,16900,24,0.304412248929865,7,17,"7 - 17","#0E1540",4,8,"2030"
1,100,126,2030-06-18,1905,9,12,16,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",7,18,-11,"7 - 18",1,131,98,205,9604,17161,25,0.358826826078834,9,16,"9 - 16","#0E1540",4,8,"2030"
1,100,131,2030-06-19,1905,9,16,16,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",8,18,-10,"8 - 18",6,137,114,221,12996,18769,26,0.409129545096805,11,15,"11 - 15","#0E1540",4,8,"2030"
1,100,137,2030-06-22,1905,9,1,3,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",8,19,-11,"8 - 19",2,139,115,224,13225,19321,27,0.40634793830271,11,16,"11 - 16","#0E1540",4,8,"2030"
1,100,142,2030-06-23,1905,9,3,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",9,19,-10,"9 - 19",2,141,118,231,13924,19881,28,0.411891731992309,12,16,"12 - 16","#0E1540",4,8,"2030"
1,100,147,2030-06-24,1905,9,6,11,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",10,19,-9,"10 - 19",5,146,124,242,15376,21316,29,0.419055924997275,12,17,"12 - 17","#0E1540",4,8,"2030"
1,100,152,2030-06-25,1905,9,4,12,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",11,19,-8,"11 - 19",3,149,128,254,16384,22201,30,0.424620966696903,13,17,"13 - 17","#0E1540",4,8,"2030"
1,100,160,2030-06-28,1905,9,3,8,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",11,20,-9,"11 - 20",7,156,131,262,17161,24336,31,0.413547967322939,13,18,"13 - 18","#0E1540",4,8,"2030"
1,100,165,2030-06-29,1905,9,3,7,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",11,21,-10,"11 - 21",4,160,134,269,17956,25600,32,0.412250895399027,13,19,"13 - 19","#0E1540",4,8,"2030"
1,100,170,2030-06-30,1905,9,4,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",12,21,-9,"12 - 21",2,162,138,276,19044,26244,33,0.420508744038156,14,19,"14 - 19","#0E1540",4,8,"2030"
1,100,177,2030-07-03,1905,9,4,8,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",12,22,-10,"12 - 22",6,168,142,284,20164,28224,34,0.416714887988758,14,20,"14 - 20","#0E1540",4,8,"2030"
1,100,182,2030-07-04,1905,9,6,9,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",12,23,-11,"12 - 23",10,178,148,293,21904,31684,35,0.408748227215048,14,21,"14 - 21","#0E1540",4,8,"2030"
1,100,187,2030-07-05,1905,9,5,6,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",13,23,-10,"13 - 23",3,181,153,299,23409,32761,36,0.416752714972405,15,21,"15 - 21","#0E1540",4,8,"2030"
1,100,192,2030-07-06,1905,9,1,4,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",13,24,-11,"13 - 24",6,187,154,303,23716,34969,37,0.404123711340206,15,22,"15 - 22","#0E1540",4,8,"2030"
1,100,194,2030-07-09,1905,10,1,4,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",13,25,-12,"13 - 25",2,189,155,307,24025,35721,38,0.402118970307636,15,23,"15 - 23","#0E1540",4,8,"2030"
1,100,199,2030-07-10,1905,9,10,16,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",14,25,-11,"14 - 25",6,195,165,323,27225,38025,39,0.417241379310345,16,23,"16 - 23","#0E1540",4,8,"2030"
1,100,204,2030-07-11,1905,9,1,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",15,25,-10,"15 - 25",0,195,166,330,27556,38025,40,0.420182674860097,17,23,"17 - 23","#0E1540",4,8,"2030"
1,100,209,2030-07-12,1905,9,3,6,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",15,26,-11,"15 - 26",5,200,169,336,28561,40000,41,0.416577937894721,17,24,"17 - 24","#0E1540",4,8,"2030"
1,100,216,2030-07-15,1905,9,7,11,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",16,26,-10,"16 - 26",5,205,176,347,30976,42025,42,0.424322954480076,18,24,"18 - 24","#0E1540",4,8,"2030"
1,100,221,2030-07-16,1905,9,0,1,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",16,27,-11,"16 - 27",2,207,176,348,30976,42849,43,0.419586860819506,18,25,"18 - 25","#0E1540",4,8,"2030"
1,100,226,2030-07-17,1905,10,2,6,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",17,27,-10,"17 - 27",1,208,178,354,31684,43264,44,0.422746437530021,19,25,"19 - 25","#0E1540",4,8,"2030"
1,100,231,2030-07-18,1905,9,1,5,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",17,28,-11,"17 - 28",7,215,179,359,32041,46225,45,0.409385940255028,18,27,"18 - 27","#0E1540",4,8,"2030"
1,100,234,2030-07-21,1905,9,9,14,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",18,28,-10,"18 - 28",8,223,188,373,35344,49729,46,0.415454962208926,19,27,"19 - 27","#0E1540",4,8,"2030"
1,100,239,2030-07-22,1905,9,2,7,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",18,29,-11,"18 - 29",7,230,190,380,36100,52900,47,0.40561797752809,19,28,"19 - 28","#0E1540",4,8,"2030"
1,100,244,2030-07-23,1905,9,2,4,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",18,30,-12,"18 - 30",11,241,192,384,36864,58081,48,0.388266891358155,19,29,"19 - 29","#0E1540",4,8,"2030"
1,100,249,2030-07-24,1905,9,3,11,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",19,30,-11,"19 - 30",2,243,195,395,38025,59049,49,0.391711477841647,19,30,"19 - 30","#0E1540",4,8,"2030"
1,100,257,2030-08-12,1905,9,5,7,"NYV","New York Voyagers","home",1,0,"Eastern Division","PBE",20,30,-10,"20 - 30",4,247,200,402,40000,61009,50,0.396004316447049,20,30,"20 - 30","#0E1540",4,8,"2030"
1,100,262,2030-08-13,1905,9,2,9,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",20,31,-11,"20 - 31",12,259,202,411,40804,67081,51,0.37821754646151,19,32,"19 - 32","#0E1540",4,8,"2030"
1,100,267,2030-08-14,1905,9,4,7,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",20,32,-12,"20 - 32",12,271,206,418,42436,73441,52,0.366215901343666,19,33,"19 - 33","#0E1540",4,8,"2030"
1,100,272,2030-08-15,1905,9,5,7,"NYV","New York Voyagers","home",0,1,"Eastern Division","PBE",20,33,-13,"20 - 33",11,282,211,425,44521,79524,53,0.358910072957395,19,34,"19 - 34","#0E1540",4,8,"2030"
1,100,274,2030-08-17,1905,9,3,4,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",20,34,-14,"20 - 34",7,289,214,429,45796,83521,54,0.354137507056303,19,35,"19 - 35","#0E1540",4,8,"2030"
1,100,278,2030-08-18,1905,9,3,4,"NYV","New York Voyagers","away",0,1,"Eastern Division","PBE",20,35,-15,"20 - 35",7,296,217,433,47089,87616,55,0.349571285401433,19,36,"19 - 36","#0E1540",4,8,"2030"
1,100,283,2030-08-19,1905,9,6,11,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",21,35,-14,"21 - 35",2,298,223,444,49729,88804,56,0.35896862119495,20,36,"20 - 36","#0E1540",4,8,"2030"
1,100,288,2030-08-20,1905,9,5,9,"NYV","New York Voyagers","away",1,0,"Eastern Division","PBE",22,35,-13,"22 - 35",0,298,228,453,51984,88804,57,0.369236014433048,21,36,"21 - 36","#0E1540",4,8,"2030"
